"feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","feature22","feature23","feature24","feature25","feature26","feature27","feature28","feature29","feature30","feature31","feature32","feature33","feature34","feature35","feature36","feature37","feature38","feature39","feature40","feature41","feature42","feature43","feature44","feature45","feature46","feature47","feature48","feature49","feature50"
-4.630261016156065125e+03,-7.070074171062813548e+03,-2.076218428862669953e+03,1.871651979003186852e+03,-5.167010188597838116e+00,-1.198454183719798039e+02,-6.431835659297912121e+08,7.480652817982726730e+06,1.578344670047218725e+07,-5.249333996401119232e+07,-2.281677101868819073e+07,-1.939118539479108527e+07,-2.155859361945619434e+07,1.446134081532941014e+07,1.315269938817027025e+07,-1.200855797626340762e+06,5.721380653466294461e+04,-1.795702461583484255e+05,-1.301158464997074625e+05,3.763178067183747771e+04,-3.126354402950160875e+04,1.567866885765575862e+05,8.678800520401203539e+04,-1.477231600152306200e+05,-1.149166936836840032e+05,-2.024705551842525529e+04,-1.324961593924377848e+04,-1.095869264932740043e+04,-1.169520353076789252e+04,2.500706361130872028e+04,-2.189293650146393338e+04,-3.631396489903524980e+02,3.561950506000613586e+03,1.933723963083256604e+04,9.951597224626450043e+03,1.139491842196740890e+03,1.105923475595429863e+03,-2.124989288528034649e+03,2.755521663821696610e+00,-9.902158633530276921e-01,-1.387390685037901972e-01,-5.272884048214637742e-01,8.016862469464343111e-01,-4.073264234642074988e-01,3.135546758011534818e-01,7.816462007530803335e-01,-8.483666775944426197e-02,-1.176834895751879273e-01,2.030339744739263318e+06,-7.173436165945582092e+06
-5.733438502415669973e+03,-8.849789007084647210e+02,-1.597348258720576951e+03,-2.187155873712610230e+02,-9.139512291331651994e+00,-8.853486702555242172e-01,-6.420782343658237457e+08,1.202793224533616565e+07,1.222642196845418587e+07,-4.387097712501482666e+07,-2.990257496075530350e+07,-1.384078940421573259e+07,-2.383462768703004718e+07,1.361509538723692484e+07,1.574431986599891912e+06,-2.273021346212221310e+06,2.461670944202902901e+05,4.349917311740901205e+05,-4.583054693415987422e+05,-1.609657734630432606e+04,6.879730086180916987e+04,6.568318022605952865e+04,-1.936974914730321325e+04,-1.485019871483530442e+05,2.151207880683545372e+05,4.286638021974164440e+04,2.118346545498095293e+04,2.110302291940974465e+04,7.593986193902040895e+02,-2.076632034723839388e+04,-4.104253455394181401e+03,-6.516269655294211589e+03,5.488067458168671692e+03,4.096243861305335486e+03,1.345038019918418286e+03,3.600140867123137468e+03,-5.453228676518736393e+03,4.305519259564200183e+03,-1.488261656254868948e+00,2.816085465496986018e+00,-2.190064050374716798e-01,-3.711504387739488625e-02,-6.613236016560419817e-02,-2.011464439333384424e-01,2.209906837980960825e-01,4.652195943347051110e-02,-1.050282823174541580e+00,-3.437732685745469863e-01,1.020933445996810123e+07,-8.153774473404424265e+06
-2.550744242022253093e+04,-7.474033557130568624e+03,3.989414751834421622e+04,9.741955350568613170e+00,-5.551334746141398449e-03,-6.186595650618515255e-03,-6.058059598414512873e+08,6.004704218216924667e+08,-4.709193342039000392e+08,-5.967502723466404676e+08,-4.775037560529552400e+07,2.418351721932513639e+06,-1.347965036880160915e+06,-3.806247557578119915e+06,-2.636597264005589299e+06,1.015037380757226958e+06,2.802167234015240101e+05,5.024790663960820530e+05,-3.922206904337163433e+05,6.309120789101863193e+04,-1.120839795227901232e+04,-1.427772140699054871e+05,2.369181647408468998e+05,1.248122333554886791e+04,-3.498790324389212037e+04,4.395764317266904254e+04,-1.187764889225452062e+05,-2.536191827393065614e+04,8.158484976432500116e+04,-2.704763904809033193e+04,-5.729896080263537442e+03,-1.754155391268508538e+04,5.039149055429530563e+03,1.050516614939216652e+03,2.563669402229233583e+03,1.455216175023089136e+03,3.398250461334678221e+02,-2.761524626314360731e+01,4.047159444161209652e-01,3.656637202336614489e-01,1.859685412516923320e+00,-1.199584498122296727e+00,-9.962863709654230793e-02,1.362918005617398176e+00,7.136601568779053772e-02,2.174600427778381473e+00,1.860988082987573122e+00,-1.009859499029158281e+00,-8.950550911153797060e+06,4.109876947287059575e+07
-5.732289091575322345e+03,-8.815875727812320974e+02,-1.594178333042095801e+03,-4.199819859176450336e+02,-2.143624617135246169e+01,1.356440658742829619e+01,-6.483296200251473188e+08,-1.830361661400329471e+08,1.740758826049048603e+08,1.227964676312841177e+08,-1.759551472938992456e+07,-2.495652993414411321e+07,-3.673646178642460704e+07,-1.769646173316061730e+06,-1.327167018149643438e+06,1.385826878268096596e+06,-2.462042098972343840e+06,1.570417653356124414e+06,1.142279657651370217e+05,-5.390940276507142698e+05,3.321661574374007178e+05,-2.672431850023972802e+05,2.602344236288783577e+04,2.674145609250697307e+05,-7.135566126650019214e+03,-1.687320885056676343e+04,-2.090187746194720967e+04,-3.447657532309102680e+04,-3.778278417713127419e+04,6.048785077283782812e+03,-2.147346443789990008e+04,1.184899003320046631e+03,1.065215811265796765e+04,4.433934561739140008e+03,-2.563109382296855983e+03,-6.816206573267173781e+02,-1.500070303634285210e+03,-7.500812272041498545e+02,-7.966417682483632745e-02,-1.462967455586021703e+00,2.481053219894704398e+00,1.221123852705781498e+00,6.357543044225405678e-03,2.056197238239837244e+00,-7.995759961768228452e-01,1.137817015267084120e-01,-1.076520558323677657e+00,-3.441131085991590566e-01,3.892281456590289623e+07,-9.233954316946497187e+06
-4.599347558158594438e+03,-7.136174525282863215e+03,-2.048992302039392598e+03,-3.242044026959731013e+02,-1.370633651429235123e+01,2.066495303721558319e+00,-6.684614149050068855e+08,-6.009737592315171957e+08,5.132722140006767511e+08,5.019031916242960691e+08,-1.926662432683433639e+06,-3.694014563547122478e+07,-5.243172142091363668e+07,-5.040985586972220801e+06,-1.653695286254794337e+05,1.739592017007951159e+06,5.723522857584000565e+06,-4.564220498438404175e+05,8.589104330724221654e+04,-1.145618214711412475e+04,8.227897134445738629e+04,-1.236077318171012848e+04,3.097494199666764325e+04,-2.408721244538682004e+04,4.590648912686749100e+03,1.883096294874604791e+04,1.005227104824355956e+04,-6.553912588285389575e+03,2.519439526970279985e+03,-2.983376547407483486e+03,1.436894605580646157e+03,-9.814804065870378054e+02,4.542852105815591131e+02,1.722131715816799215e+03,2.277025795777301937e+03,-7.727637364723310611e+02,1.090679445505977583e+03,1.205020021707465048e+03,-2.302921142059842996e+00,-1.507870083692337548e+00,-1.376889093504128025e+00,-6.121234620109458069e-01,3.661478127852282882e-01,-6.074760432153025053e-02,-6.762652610639773194e-03,-5.307149942540488885e-01,-1.347245622630008355e-01,-1.380795719500541585e+00,-1.931908289696433395e+07,-3.335280880206792802e+07
-6.408731729441577954e+03,2.847343516581932818e+03,-1.324764035111446901e+03,-3.564870296926058586e+02,-3.122173056442501604e+01,-5.482842633339679583e-01,-6.153474839373339415e+08,6.819512594164683819e+08,-5.398073559889330864e+08,-6.729431115389187336e+08,-4.586099215633535385e+07,1.311838494696871610e+06,-1.429237548433809541e+07,-3.386785524161998648e+06,-2.111658407554364763e+06,5.841978874282434117e+05,4.262245040178768104e+05,-1.522373181177557271e+05,-2.668950681806812645e+05,7.972970821322823758e+04,7.728218507715460146e+04,6.789136854183708783e+04,-1.551849797125301557e+05,-8.590800566971374792e+03,5.370267280165760894e+03,-1.840487779205862535e+04,1.542577864397878147e+04,8.906242477985342703e+03,6.070931772509551365e+02,-1.030587312853679759e+04,-1.019879900914036443e+04,1.101462951292435173e+04,7.494639830192563750e+02,3.964187415180033895e+03,8.071091440555263716e+02,-4.253622928098254761e+02,-9.766096797037600936e+02,-3.768770656195620177e+03,3.267038170548901999e+00,-1.423190368846394271e-01,-6.534557202598396675e-01,8.244579009206727260e-01,1.530049511999316270e-01,-7.051517867413092944e-01,-9.657114458469364671e-01,1.000090249750658494e-01,4.239032474159357133e-02,1.554885075190614030e-01,-1.259336261059656553e+07,5.045191475964248925e+07
-5.733439270913761902e+03,-8.849776758111759136e+02,-1.597341890396996632e+03,-2.187444662669531965e+02,-7.614937800851143024e+00,-2.765061780200626984e+00,-6.240242221339168549e+08,1.348535273174771965e+08,-8.606137587638750672e+07,-1.616276056350217462e+08,-3.414831750747950375e+07,-8.656202025057941675e+06,-5.423919396401773207e+06,9.917913507283030078e+06,1.829133615846450673e+06,-4.375879146856841398e+05,1.167040084829297120e+05,-6.163310437593973475e+05,8.137848144019917527e+04,-1.873402761600253507e+04,2.076579456518357620e+05,-1.424028293268329580e+05,4.042832933241259161e+04,3.304853852073228336e+05,1.128892697518197092e+05,3.956770842628870469e+03,1.949013084291078849e+04,3.515522659335491335e+04,8.738593768406566596e+03,-4.048248701195162539e+03,4.343966443281021384e+03,5.498169521208112201e+03,6.212545348830661169e+03,4.977987120809657426e+03,4.914174263154154687e+02,1.647142358687295882e+02,9.687570057396693301e+03,5.783927647428532737e+02,-1.637658762734403473e+00,6.608200399825289173e-01,-8.475221647106997991e-02,-2.643076996673008328e-01,4.794342996903134813e-01,-2.859977056414809149e-01,2.001072739912323484e-01,-5.515645509201107244e-02,1.565897898446837883e-02,-3.089701875082097038e-01,-3.171974660367577802e+06,3.694612475883701816e+06
-5.732236216260354013e+03,-8.815955512585940141e+02,-1.594125986276553931e+03,-4.202621102378534488e+02,-1.130944102111326899e+01,-5.474398946844037717e+00,-6.370998322891864777e+08,-1.841610835765170157e+08,1.741099437135511339e+08,1.227039976021924317e+08,-2.038454246041577309e+07,-2.065338162307571992e+07,-1.597655956314961985e+07,6.256886875084068626e+06,8.506488800554180518e+06,-1.104106477502050111e+06,-7.932302428693444235e+05,-5.113121776701260242e+05,-3.208633716237913468e+05,7.436749819306626159e+04,4.465158852533983008e+04,-5.266247735443994316e+02,-7.811476024858394521e+04,-1.172972561891063087e+05,-1.054311356974539231e+05,-3.850926968505459081e+04,-2.378731556232762159e+04,-3.363211491033055063e+04,5.710818615667115409e+03,-1.554950300429127856e+04,4.860873133756007155e+04,1.598494291832189083e+04,1.803732390987351027e+04,-7.251137398663813656e+03,-7.337555521217909700e+03,4.638457772221355526e+02,1.159183311309146660e+02,1.199157239130656535e+03,-2.193940531949109651e+00,9.972679650408470264e-01,2.459061605249062699e-01,5.822149558836573480e-01,1.674170869649145077e+00,-5.361560871376535031e-01,-4.473085651429059562e-01,-1.352188923049090885e+00,2.006313132906669197e-02,-1.129751072920923000e-01,1.772465364098770916e+07,-2.370082417787655443e+07
-5.733412767426862956e+03,-8.849699433584349890e+02,-1.597355652512753522e+03,-2.202328538725314218e+02,-1.752004931980535574e+01,-3.162066748155772444e+01,-5.694860201798605919e+08,-5.866798495895414352e+08,3.067339634219890237e+08,6.285038350828499794e+08,1.545146490466251373e+08,-2.128198002181875706e+08,-2.932642835191455483e+07,-4.644049242146491073e+06,-7.872967727892625146e+06,-5.664089823311778018e+05,-2.941399712462703232e+06,-7.887683326497566886e+05,-3.401755538104719017e+05,2.529809193428133731e+05,2.900345177581816097e+05,7.983795176440508803e+05,3.381753817000130075e+05,1.124222292621284578e+05,-9.006998571535466453e+02,-4.361915910967031959e+04,4.150670726219804237e+03,-8.023334899111811865e+03,1.362383001276246205e+03,-3.836644277377493495e+02,4.274288771306920580e+02,8.031337214503408006e+01,-1.834932318164041476e+02,2.532719690399141825e+02,1.459458077918523884e+02,4.823231200940946906e+01,1.369945684980669220e+01,-2.403778182061258040e+00,-1.911229367009597890e+00,2.296385295178123620e+00,8.096082704732509017e-01,2.256451400985315936e-01,1.740473997248651372e+00,-6.245227958067255808e-02,7.527731603697450369e-02,-1.995021988585206352e-01,2.471414686495626845e-01,6.902642995553848193e-01,-3.687640345814963430e+07,6.981957703314387798e+07
-5.745257912683860923e+03,-9.168863635775917373e+02,-1.626603579530601564e+03,1.670350502985595540e+03,1.505395862986770261e+01,2.949022836655030346e+02,-6.326339048281966448e+08,-1.911073048489295840e+08,1.810607527725003958e+08,1.386960683049942851e+08,-2.706961271588063613e+07,-1.675196480087003298e+07,-9.723038855372216552e+06,1.000713551541214995e+07,-5.355160611102991425e+03,-1.290523685592674417e+06,-6.380333259244784713e+05,1.265348766956109786e+06,6.603374146814028500e+05,1.501861609237187076e+05,2.482723486481075233e+05,-1.793601058740754961e+05,1.331799939202211681e+05,-2.493293134997773741e+05,1.170905699913641001e+05,-8.766297728887846461e+04,-8.092063067991522985e+03,-2.709689153713617270e+04,2.417450526719120535e+04,1.617925109415521365e+04,-4.242190579159811932e+03,5.128143098831409588e+03,-1.308610467275606970e+04,-4.549617057918630962e+03,-4.306694995675795326e+03,-3.654206285284355090e+03,2.499711053471125524e+03,-8.718833515426973690e+02,-1.521858763472745180e+00,-1.890725235793542791e-01,-1.334858142286188043e+00,-9.518749166273104967e-01,-6.103765063559047910e-01,7.812708112390720494e-01,-5.918901227145301203e-02,-5.296484121362002861e-01,2.504950294411750419e-02,1.415903283459185591e+00,1.876797584835098311e+07,-2.588391805524962768e+07
